customer_id,first_name,last_name,email,phone,gender,date_of_birth,city,state,signup_date,loyalty_tier
1,Sneha,Mehta,sneha.mehta1@gmail.com,9387191275,Male,1994-01-23,Delhi,Delhi,2022-09-06,Bronze
2,Lakshmi,Sharma,lakshmi.sharma2@yahoo.com,9497928285,Male,1999-12-04,Hyderabad,Telangana,2023-05-16,Bronze
3,Tanvi,Joshi,tanvi.joshi3@example.com,,Female,1970-09-26,Kolkata,West Bengal,2024-08-25,Bronze
4,Riya,Kumar,riya.kumar4@gmail.com,,Male,1974-11-02,Delhi,Delhi,2022-03-13,Platinum
5,Meera,Pillai,meera.pillai5@gmail.com,,Male,1966-06-30,Bengaluru,Karnataka,2025-06-01,Bronze
6,Rahul,Rao,rahul.rao6@yahoo.com,9890642591,Female,1984-07-18,Kochi,Kerala,2022-08-23,Bronze
7,Vikram,Pillai,vikram.pillai7@outlook.com,9807000856,Female,1984-10-02,Delhi,Delhi,2024-12-13,Bronze
8,Deepak,Kumar,deepak.kumar8@example.com,9198481201,Female,1966-03-10,Gurugram,Haryana,2024-04-24,Gold
9,Aditya,Sharma,aditya.sharma9@outlook.com,9846873318,Female,1991-06-12,Bengaluru,Karnataka,2025-03-06,Silver
10,Aditya,Iyer,aditya.iyer10@yahoo.com,9954834839,Female,1965-05-10,Hyderabad,Telangana,2024-11-27,Bronze
11,Diya,Kumar,diya.kumar11@example.com,9144394823,Female,1996-09-10,Hyderabad,Telangana,2023-12-08,Platinum
12,Ramesh,Gupta,ramesh.gupta12@gmail.com,9452362749,Female,1993-03-14,Jaipur,Rajasthan,2024-11-01,Bronze
13,Tanvi,Pillai,tanvi.pillai13@example.com,9284072157,Male,1997-08-01,Pune,Maharashtra,2023-04-20,Gold
14,Riya,Mehta,riya.mehta14@yahoo.com,9260170350,Female,1969-09-24,Kolkata,West Bengal,2024-03-10,Bronze
15,Pooja,Kapoor,pooja.kapoor15@yahoo.com,9953956010,Male,1999-10-17,Hyderabad,Telangana,2025-06-06,Bronze
16,Arjun,Nair,arjun.nair16@example.com,9589506657,Male,1986-11-25,Chennai,Tamil Nadu,2022-04-27,Bronze
17,Siddharth,Gupta,siddharth.gupta17@outlook.com,9574109432,Male,1999-07-06,Mumbai,Maharashtra,2023-05-03,Platinum
18,Aditya,Pillai,aditya.pillai18@yahoo.com,9090243037,Female,1992-10-27,Bengaluru,Karnataka,2022-01-24,Gold
